Victory,Remaining HP,Reward,Times Healed Ally,Times Coordinated Stuns,Times Coordinated Blinds
0,200,0,0,0,0
1,0,32.375,0,0,0
0,0,12.0625,0,1,0
0,0,16.6875,2,0,0
0,0,18.375,0,1,0
1,0,28.75,0,0,0
1,11,38.1875,2,0,0
1,77,42.3125,0,0,0
1,0,30.6875,0,1,0
1,45,40.3125,0,0,0
1,124,39.75,0,0,0
1,155,46.1875,0,0,0
1,81,40.625,0,1,0
1,95,41.375,0,0,0
1,22,37.875,4,0,0
1,54,40.875,0,0,0
0,0,9.375,0,0,0
1,67,41.6875,1,0,0
1,3,35.875,0,0,0
1,82,42.625,2,2,0
1,0,33.1875,0,1,0
1,0,26.875,0,1,1
1,24,35.4375,0,1,0
1,0,28.375,0,0,0
1,61,39.4375,0,1,0
1,45,40.3125,0,1,0
0,0,11.375,0,0,0
0,0,14.5625,0,0,0
1,0,29.1875,0,0,0
1,66,40.8125,0,1,1
1,0,29.5625,0,0,1
0,0,13.3125,0,0,0
1,0,28.8125,0,0,0
1,156,38.0625,0,1,0
1,3,32.625,0,0,0
1,89,42.1875,0,1,1
1,0,32.25,0,0,0
1,98,43.625,2,0,0
0,0,20.75,0,0,0
1,187,46.125,0,0,1
0,0,14.1875,0,0,0
1,75,40.6875,0,0,0
1,73,39.5625,0,0,0
0,0,24.6875,0,0,0
1,50,36,0,0,0
1,158,47.375,3,1,0
1,93,43.3125,1,0,0
1,52,35.625,0,0,0
1,0,29.9375,1,0,1
0,0,11.875,0,0,0
1,125,45.3125,1,0,0
1,70,41.875,0,0,2
0,0,7.5625,0,0,0
1,34,37.75,0,1,0
0,0,21.625,0,0,0
0,0,20.4375,0,1,1
0,0,12.625,0,0,0
1,56,39.1875,0,0,0
1,150,46.0625,0,0,1
1,184,45.0625,1,1,1
1,92,43.25,0,0,2
1,21,37.8125,0,0,1
1,49,40.5625,3,0,1
1,53,34.5,0,1,0
1,18,35.75,0,0,1
0,0,18.25,0,1,0
0,0,10.75,0,0,0
1,89,43.0625,0,1,0
1,0,29.0625,2,0,1
0,0,15.25,0,0,1
1,105,43.1875,0,1,0
1,73,31.25,0,1,2
1,89,43.0625,0,2,0
1,11,38.1875,0,0,1
0,0,23.125,0,0,0
1,27,37.6875,0,1,0
1,86,39.6875,0,0,1
1,94,43.375,0,0,0
1,180,43.6875,0,0,0
0,0,22.3125,0,0,0
0,0,22.8125,0,0,0
1,0,34,0,0,0
1,21,30.625,0,0,0
1,0,30.9375,0,0,0
1,89,43.0625,1,1,0
0,0,12.5,0,0,0
1,19,36.8125,0,0,0
1,76,42.25,0,1,0
0,0,15.0625,0,0,0
0,0,18.875,0,0,0
1,36,34.5,0,1,0
0,0,19.1875,0,0,0
1,68,41.75,0,0,0
1,77,42.3125,3,0,0
0,0,12.375,1,0,0
1,136,44.4375,0,0,0
1,200,47.625,0,0,1
1,48,40.5,0,2,0
0,0,19.4375,0,1,0
1,83,34.0625,0,0,0
1,0,27.3125,0,0,0
1,4,37.75,2,2,0
1,10,34.8125,0,0,0
1,0,29.5,0,0,0
0,0,10.4375,0,0,0
1,200,40.5,0,0,1
1,122,44.3125,0,0,1
0,0,23.4375,0,0,0
1,0,27.6875,1,0,0
1,125,45.3125,0,1,0
1,131,44.875,0,0,0
1,27,39.1875,2,1,0
1,42,40.125,0,1,0
1,115,44.6875,1,2,0
1,63,33.6875,0,1,0
1,0,29.625,0,0,0
1,146,46.625,0,0,1
0,0,23.875,0,1,0
1,126,45.375,0,0,0
1,0,28.75,0,0,0
1,52,31.4375,0,1,0
1,121,45.0625,0,0,0
1,49,40.5625,2,1,0
0,0,7.125,0,0,1
0,0,13.9375,0,0,0
0,0,20.375,0,0,0
0,0,13.3125,0,1,0
0,0,22.8125,1,0,0
0,0,24.6875,1,0,0
1,0,26.125,0,0,1
1,0,25.5625,0,1,0
0,0,15.9375,0,0,0
0,0,11.375,1,0,0
1,0,32.4375,0,1,0
1,111,40.75,0,1,0
1,139,43.6875,0,0,0
1,3,36.8125,0,0,0
1,0,27,0,0,0
1,5,37.8125,0,1,0
1,0,27.625,1,0,0
1,0,30.25,0,0,0
1,82,41,0,0,0
1,0,32.625,0,1,0
1,31,38.625,0,0,0
1,79,40.1875,0,0,0
0,0,19.9375,0,1,0
0,0,10.5,0,0,0
1,0,27.0625,0,0,0
1,113,44.5625,0,1,0
1,0,36.5625,1,0,0
1,26,38.25,0,1,0
1,0,25.75,0,0,0
0,0,13.3125,0,0,0
1,0,27.625,0,0,0
1,0,29.8125,0,0,2
1,52,40.75,0,0,0
1,0,28.125,0,0,1
0,0,8.375,0,0,0
0,0,16.75,0,0,0
1,20,35.9375,0,1,1
1,0,26.625,0,0,0
1,0,33.25,0,0,0
1,200,50,0,0,0
0,0,19,0,0,0
0,0,19.75,1,1,0
1,95,43.4375,0,0,0
1,5,36.4375,0,0,1
0,0,15.8125,0,1,0
1,200,43.5,0,0,1
1,0,29.75,0,0,0
1,111,44.4375,0,1,0
0,0,21.8125,0,0,0
1,76,42.25,2,0,0
1,103,42.4375,0,0,0
1,0,29.6875,0,0,0
1,0,29.3125,0,0,0
1,187,43.375,0,1,0
1,94,41.8125,0,0,0
1,130,41.9375,0,0,0
1,3,37.3125,0,0,0
0,0,15,0,0,0
1,0,28.8125,0,0,0
0,0,23.8125,0,1,0
0,0,23.875,0,0,1
1,60,32.8125,1,0,2
1,126,44.5,0,1,0
0,0,12.5625,0,0,1
1,0,29.125,0,0,0
1,36,27.25,0,0,0
1,0,31.8125,0,0,0
1,5,34.5,0,1,0
1,51,30.75,0,0,0
1,31,38.6875,0,1,0
1,158,47.375,0,0,0
0,0,8.3125,0,0,0
0,0,14.1875,0,0,0
1,21,38.8125,2,1,0
1,0,30,0,0,0
1,85,40.3125,0,0,0
1,53,32.1875,0,0,1
0,0,22.8125,0,0,0
0,0,12.4375,0,0,0
1,38,37.5,0,0,0
1,105,44.0625,2,0,0
1,0,37.5,1,0,0
1,0,27.375,0,0,0
0,0,12.1875,0,0,0
1,139,37.3125,0,0,0
1,0,25.0625,0,0,0
1,164,47.75,0,0,1
1,0,33.75,0,0,0
1,19,38.6875,0,0,1
1,0,26.5,0,0,0
1,0,34.0625,1,0,0
1,0,36.8125,0,0,0
1,0,35.625,0,0,1
1,12,38.25,2,0,0
1,125,36.875,1,0,0
0,0,12.9375,0,0,0
0,0,13.125,0,0,0
1,15,37.4375,1,1,0
0,0,15.8125,0,0,0
0,0,14,0,0,0
1,136,46,0,0,0
1,130,43.625,0,1,0
1,80,42.5,0,1,2
1,188,49.25,0,1,0
1,0,30.8125,0,0,0
1,0,29.875,0,0,0
1,173,48.3125,0,0,0
1,0,31.0625,0,0,0
1,66,38.625,0,0,0
1,167,47.9375,0,1,0
1,119,44.0625,0,0,0
1,0,28.625,0,1,0
1,170,43,0,0,0
1,53,40.8125,1,2,0
1,17,37.75,0,0,1
1,49,40.5625,2,0,1
1,0,31,0,0,0
0,0,11.125,0,0,0
0,0,13.25,0,0,0
1,53,35.4375,0,0,0
0,0,20.375,0,0,0
1,6,29.5625,0,1,0
0,0,15,0,0,0
1,0,31.5,0,0,0
1,0,34.1875,0,1,1
1,0,26.5,0,1,0
1,152,36.625,1,1,0
1,119,41.3125,0,1,0
1,0,27.375,0,0,1
1,0,28.3125,0,2,0
0,0,9.999999,0,0,0
1,67,41.6875,1,1,1
1,124,44.25,1,1,0
1,113,42.125,0,0,0
1,137,46.0625,0,1,1
1,133,45.8125,0,0,0
1,186,45.5625,0,2,0
1,67,41.6875,0,0,0
1,142,42.8125,1,1,0
0,0,23.8125,0,1,0
1,94,37.4375,0,0,0
1,102,42.0625,1,0,0
1,9,38.0625,0,0,0
1,17,38.5625,0,0,1
1,128,43.125,0,0,0
1,126,43.4375,0,0,3
1,75,42.1875,0,1,0
1,2,37.625,1,0,2
1,0,32.25,0,1,1
1,0,28.125,0,0,0
1,30,39.375,0,1,0
0,0,22.5625,0,0,0
1,160,44.75,0,1,1
1,100,43.75,1,1,0
1,0,31.75,0,0,0
1,76,42.25,2,0,0
1,14,38.375,4,0,0
0,0,24.6875,0,0,0
0,0,24.75,0,0,0
1,71,38.25,1,1,0
1,109,32.875,0,1,0
1,46,40.375,0,0,0
1,45,40.3125,1,0,0
1,0,29.5,0,0,1
1,0,33.5,0,0,0
1,0,37.5,0,0,0
1,73,40.375,0,1,0
1,21,36.25,0,0,0
1,0,29.5625,0,0,0
0,0,11.375,0,0,0
1,31,39.4375,1,0,1
1,200,50,0,1,0
1,99,42.6875,0,0,0
0,0,24.5,0,0,0
0,0,12.8125,0,0,1
1,41,40.0625,1,0,1
1,54,34.8125,0,0,0
1,73,36,0,0,1
1,46,37.125,0,0,0
0,0,18.9375,0,0,0
0,0,21.9375,1,0,0
1,0,30.5625,0,0,1
0,0,21.75,0,1,0
1,122,45.125,0,0,0
1,0,25.375,0,1,0
1,87,42.9375,0,0,0
1,162,46.25,0,0,0
0,0,10.875,0,0,0
1,0,28.875,0,1,0
0,0,13.3125,0,0,0
1,50,30.9375,0,1,0
1,86,40.875,0,0,0
0,0,15.9375,0,0,1
1,60,28.75,2,1,0
1,108,31.75,0,0,0
1,41,40.0625,0,0,0
1,0,33.25,0,0,0
1,24,37.5625,0,0,1
1,132,35.75,0,0,1
1,165,47.8125,0,0,0
1,0,37.5,1,1,0
1,0,30.125,0,0,0
0,0,21.8125,0,2,0
0,0,14.875,0,0,0
1,0,28.375,0,0,0
1,52,40.75,2,0,0
1,98,43.625,2,0,1
1,20,37,0,0,0
1,66,39.1875,0,0,0
0,0,21.0625,0,0,1
1,0,37.5,1,0,0
1,2,36.75,0,0,0
1,91,41.5,0,0,0
1,17,38.1875,0,1,1
0,0,21.5625,0,0,0
1,84,37.4375,0,0,0
1,104,40.625,0,1,0
1,86,36.3125,0,0,0
1,0,28.25,0,0,0
0,0,21.5625,0,0,0
1,73,39.625,0,0,1
1,148,46.75,0,0,0
1,16,36.125,0,0,0
0,0,24.9375,0,0,0
1,0,25.4375,1,0,0
1,133,45.8125,1,1,1
1,0,25.875,0,1,0
1,8,36.375,0,0,0
1,0,29.1875,0,0,0
1,108,43.25,0,1,0
1,93,31.6875,0,0,0
0,0,24.4375,0,1,0
1,131,45.1875,1,1,0
1,0,27.625,1,0,0
1,33,39.125,0,1,0
1,193,49.5625,2,0,0
1,0,34.875,1,0,1
0,0,10.25,0,1,1
0,0,7.5625,0,0,1
1,49,28.75,1,0,0
0,0,10.125,0,0,0
1,0,28.9375,0,1,0
1,0,32.4375,0,0,0
1,67,41.6875,1,2,0
0,0,21.4375,0,0,1
1,0,36.5625,0,1,1
0,0,21.4375,0,1,0
0,0,15,0,0,0
1,0,28.4375,0,0,0
1,162,47.625,0,0,0
1,0,26.5,0,0,0
0,0,12.5,0,0,0
0,0,22.3125,0,0,0
0,0,15.9375,0,0,0
0,0,23.3125,0,0,0
1,6,31.4375,0,1,1
0,0,19,0,0,0
1,30,38.4375,0,0,0
1,0,27.8125,0,0,0
1,0,35.125,0,1,0
1,73,40.625,0,0,0
1,111,41.1875,0,0,0
1,0,27.4375,0,1,0
1,0,32.1875,0,0,0
1,52,40.5,1,1,0
1,0,28.25,0,0,1
1,25,39.0625,0,0,0
1,90,43.125,2,1,0
1,75,42.1875,0,0,1
1,0,27.3125,0,0,0
0,0,22.25,0,0,0
1,113,44.5625,1,0,0
1,152,35.875,0,0,0
1,13,37.3125,4,0,0
1,15,36.6875,0,1,0
1,0,28.625,0,0,0
1,40,40,0,0,0
1,0,31.25,0,0,0
0,0,12.625,0,0,1
1,0,34.25,1,0,0
1,0,34,1,0,0
1,0,26.125,0,0,0
1,69,41.8125,3,1,1
1,0,28.125,0,0,0
1,183,40.1875,0,0,0
1,54,38.9375,0,0,0
0,0,20.6875,0,0,0
1,0,29.8125,0,0,0
0,0,22.4375,0,0,0
0,0,12.5,0,0,1
0,0,20.875,0,1,1
1,0,37.5,2,0,0
0,0,11.8125,1,0,0
1,93,42,2,0,0
1,130,45.625,0,0,0
1,200,42.6875,2,1,0
1,0,28.6875,0,0,0
0,0,21.1875,0,0,0
1,54,35.125,0,1,1
0,0,24.9375,0,0,1
0,0,19.875,0,1,0
1,181,44.5625,0,0,1
1,32,31.75,0,0,0
1,0,37.5,2,0,0
0,0,20.4375,0,0,1
1,0,27.625,0,1,0
1,0,26.8125,0,0,2
0,0,14,0,0,0
1,0,25.875,0,0,0
1,0,26.5625,0,0,1
0,0,11,0,0,0
1,25,36.125,2,0,0
1,0,30.25,1,0,0
1,0,27.9375,0,0,0
1,85,40.875,0,0,0
1,94,39.625,0,0,0
1,50,38.3125,0,0,0
1,62,37.5625,0,0,0
0,0,23.625,0,0,1
1,74,42.125,0,0,0
1,0,33.4375,0,0,0
1,98,42.8125,0,0,0
1,0,28.4375,0,0,2
1,135,41.9375,0,0,0
1,107,42.6875,0,1,0
1,188,44.9375,1,0,0
0,0,23.6875,0,0,0
1,8,33.75,0,0,0
1,76,38.5,0,0,1
0,0,19.5625,0,0,0
1,69,41.8125,0,2,0
0,0,12,0,0,0
1,0,33.1875,1,0,0
1,118,42.875,0,1,1
1,71,41.9375,2,1,0
1,0,34.1875,0,0,0
0,0,13.0625,0,0,0
1,0,31.9375,0,0,0
1,0,30.3125,0,0,0
1,0,32.625,0,1,0
0,0,11.125,0,0,0
1,41,34.8125,0,0,0
1,0,28.8125,0,0,1
0,0,17.4375,0,1,0
1,79,41.4375,0,0,0
0,0,12.25,0,0,0
0,0,15.9375,0,0,0
1,164,42.0625,0,1,1
1,185,48.75,0,0,0
0,0,18.0625,0,0,0
0,0,6.8125,0,0,0
1,155,47.1875,3,0,1
1,48,38.625,0,0,0
1,58,39.375,0,1,0
1,0,27.9375,0,0,0
1,0,30.25,0,0,0
1,0,29.125,0,0,0
1,0,27.625,0,0,0
1,0,33,0,1,0
1,60,37.375,0,0,0
0,0,18.75,0,1,0
0,0,12.5,0,0,0
1,0,37.5,0,0,0
0,0,15.625,2,0,1
0,0,11.0625,0,0,0
0,0,19.1875,0,1,0
0,0,19.875,0,1,0
1,109,41.125,0,0,1
1,0,26.25,0,1,0
0,0,7.75,0,0,0
1,28,39.25,1,1,0
0,0,23.0625,0,0,0
1,0,34.6875,0,1,0
0,0,19.1875,0,0,0
1,40,38.5625,0,0,0
1,0,26.8125,0,0,0
1,0,27.3125,0,0,0
1,8,38,1,1,0
1,0,32.9375,0,0,0
1,177,47.3125,0,1,0
0,0,15.0625,0,0,0
1,0,31.625,0,0,0
0,0,10.5,0,1,0
1,0,27.9375,0,0,0
1,84,41.8125,0,0,0
1,0,27.5,0,0,0
1,42,38.875,0,0,0
1,140,46.25,0,0,0
1,106,44.125,2,1,1
0,0,22.25,0,0,0
0,0,18.875,0,0,0
1,126,32.875,0,0,0
0,0,14.8125,0,0,0
1,15,33.5625,0,1,0
1,97,43.5625,1,2,0
0,0,13.125,0,0,0
0,0,15.5625,0,0,0
0,0,23,0,0,0
0,0,10.375,0,0,0
0,0,18.25,0,0,0
1,57,33.3125,0,0,0
1,109,41.5625,0,0,1
1,105,40.9375,0,1,2
1,0,32.375,0,0,0
0,0,7.0625,0,0,0
1,31,39.4375,0,0,1
1,12,38.25,1,0,0
0,0,19.6875,0,1,0
0,0,9.6875,0,0,0
1,22,38.875,0,0,0
1,0,32.125,0,0,0
1,0,30,0,1,0
1,0,35.9375,0,0,1
1,0,32.5,0,0,0
1,0,26.75,0,0,0
1,135,42.5,0,0,1
1,144,46.5,0,0,1
1,127,45.4375,2,0,1
0,0,11,0,0,0
1,73,42.0625,0,1,0
1,0,25.1875,0,0,0
1,0,28.8125,0,1,0
1,1,31.3125,0,0,1
1,33,38.625,0,0,0
0,0,21.5625,0,0,0
0,0,13.5,0,0,0
1,36,35.0625,0,2,0
1,97,43.5625,1,0,2
1,36,32.5625,0,0,0
1,29,37.8125,0,2,0
0,0,9,0,0,0
1,60,34.6875,0,0,0
0,0,15.75,0,0,0
1,73,37.375,0,0,0
0,0,21.375,0,0,0
1,0,25.8125,0,0,0
1,0,26,0,0,1
1,43,38.75,0,1,1
1,0,33.0625,0,0,0
1,53,40.8125,0,1,0
1,0,27.5625,0,1,0
0,0,13.9375,0,0,2
1,132,44.125,0,1,0
0,0,12.8125,0,0,0
1,0,37.5,2,1,0
1,137,46.0625,0,0,0
1,129,38.4375,0,1,0
1,137,43.5,0,0,1
1,0,32.875,0,0,0
1,0,29.375,0,0,0
1,144,44.5625,0,0,0
1,20,38.75,0,0,0
1,0,34.9375,0,0,0
1,92,41.3125,0,0,0
1,99,43.6875,0,0,1
1,113,44.5625,0,1,0
0,0,21.5,0,1,1
1,15,37.1875,0,0,1
1,0,31.625,0,1,0
1,0,26.5625,1,1,0
1,101,43.8125,2,1,1
1,0,28.5,0,0,0
1,49,37.5,0,1,1
1,36,39.75,3,0,2
1,0,30.5,0,0,0
1,54,39.875,0,0,1
1,0,33.5625,0,0,0
0,0,8.25,0,0,0
0,0,23.0625,1,1,0
1,0,30.1875,0,2,2
1,105,41.125,0,0,1
1,0,30.875,0,1,1
1,159,36.875,0,1,0
1,132,39.5625,1,0,0
1,17,38.5625,2,1,0
1,18,38.625,1,1,0
0,0,24.4375,0,1,0
1,20,37.75,2,0,0
0,0,14.125,0,0,0
1,119,44.9375,1,0,0
1,68,40.375,0,0,0
1,80,42.5,0,1,2
1,190,43.1875,0,0,1
1,0,26.6875,0,0,0
1,41,35.1875,0,0,0
1,0,34.5,0,1,0
0,0,21.375,0,0,0
0,0,12.8125,0,1,0
1,18,38.625,0,0,0
0,0,24.375,0,0,0
0,0,17.0625,0,0,0
1,30,39.375,2,0,1
1,37,39.8125,2,1,0
0,0,13.3125,0,1,0
0,0,20.25,0,0,0
1,0,32,0,0,0
0,0,22.8125,0,0,0
1,37,38.8125,0,1,0
1,38,39.875,2,0,0
1,0,31.75,0,0,0
1,90,43.125,0,0,0
1,61,41.3125,0,1,0
1,33,38.6875,1,1,0
1,15,33.625,0,1,1
0,0,19.625,0,0,0
0,0,22.1875,0,0,0
1,0,30,2,0,1
1,0,26.125,0,0,0
1,62,41.375,2,1,0
1,0,31.4375,0,1,2
1,74,34.5625,0,0,0
1,47,40.4375,0,0,0
0,0,9.5,0,0,0
0,0,15,0,0,0
1,94,38.375,0,0,0
1,124,38,0,0,0
0,0,12.5,0,0,0
1,0,30.9375,0,1,0
1,0,34.75,0,0,1
1,39,33.375,0,0,0
0,0,9.375,0,0,0
0,0,10.125,0,0,0
1,53,40.8125,2,0,0
1,4,37.75,2,1,0
1,14,38.375,0,1,1
0,0,18.25,0,0,0
0,0,22.125,0,0,0
0,0,14,0,0,0
0,0,12.9375,0,0,0
0,0,21,0,0,1
1,0,31.5625,0,0,0
0,0,16.3125,1,0,0
1,0,37.5,0,0,0
1,71,40.9375,0,1,0
