Victory,Remaining HP,Reward,Times Healed Ally,Times Coordinated Stuns,Times Coordinated Blinds, Times Healed Vulnerable Ally, Times Healed Weaker Ally, Battle Length
1,200,40.25,2,0,0,1,2,28
1,200,45.625,1,0,0,1,1,21
1,200,49.0625,2,0,1,1,1,26
1,200,45.625,1,0,0,1,1,26
1,200,47.25,1,1,0,1,0,22
1,126,44.4375,0,0,0,0,0,26
1,195,49.6875,0,0,0,0,0,20
1,119,44.9375,1,0,0,0,0,16
1,200,48,3,0,1,3,1,24
1,200,48.625,1,0,0,0,1,22
1,170,44.5625,2,0,0,2,2,24
1,152,43.75,0,0,0,0,0,20
1,147,45.9375,1,1,1,0,0,20
1,195,49.6875,0,2,1,0,0,23
1,29,36.0625,2,0,0,2,1,25
1,116,44.75,3,1,0,0,0,30
1,95,43.4375,2,1,0,1,0,24
1,200,47.5625,0,2,0,0,0,23
1,148,45.8125,0,0,1,0,0,21
1,195,43.875,0,0,0,0,0,23
1,181,47.8125,2,2,1,2,0,27
1,161,37.75,0,0,1,0,0,24
1,200,49.3125,1,0,1,1,0,22
1,155,41.75,1,0,1,1,1,22
1,67,36.875,0,1,0,0,0,23
1,131,45.6875,2,0,0,0,0,20
1,163,43.25,0,1,1,0,0,24
1,200,44.25,3,0,0,2,3,20
1,200,44.375,1,1,0,1,1,24
1,110,44.375,0,1,1,0,0,23
1,70,39.875,0,0,1,0,0,21
1,173,47.9375,2,1,0,1,0,20
1,157,43.9375,2,0,0,2,0,25
1,131,43.75,3,0,0,1,0,24
1,168,48,1,1,0,0,1,19
1,184,37.3125,0,2,0,0,0,25
1,92,42.9375,1,0,0,0,0,22
1,101,42.8125,1,0,0,0,0,24
1,200,44.1875,0,0,0,0,0,19
1,200,49,1,1,0,1,0,25
1,200,37.5,0,0,0,0,0,32
1,67,40.75,1,1,1,0,0,21
1,200,48.5625,2,1,0,2,2,20
1,200,44.6875,1,3,1,1,0,31
1,200,49.0625,2,0,0,0,0,22
1,131,45.6875,3,0,0,2,2,22
1,200,46.4375,2,0,0,2,2,25
1,200,50,4,0,0,0,2,23
1,114,41.6875,2,0,0,0,0,22
1,200,43.125,0,1,1,0,0,23
1,190,45.5625,0,0,0,0,0,22
1,185,47.5,3,2,0,2,2,23
1,200,45.75,2,0,0,2,1,25
1,200,43.75,1,0,0,1,0,14
1,200,46.25,1,1,0,0,0,25
1,184,49,0,1,0,0,0,25
1,116,43.9375,2,0,0,1,0,25
1,200,47.125,3,0,0,0,1,24
1,200,44.875,1,0,0,1,0,22
1,133,41.0625,2,0,1,0,0,22
1,180,43.9375,0,0,0,0,0,21
1,133,45.8125,0,0,1,0,0,22
1,200,48.0625,3,0,0,1,3,21
1,97,43.5625,2,1,0,0,0,24
1,200,42.75,1,0,0,1,1,21
1,200,50,0,1,1,0,0,24
1,180,48.4375,1,0,1,0,0,23
1,29,39.3125,3,0,0,2,0,22
1,153,44.9375,2,0,0,2,0,18
1,200,46.6875,0,1,0,0,0,23
1,195,46.125,1,0,0,1,0,22
1,200,50,2,1,1,0,2,32
1,130,44.625,0,0,0,0,0,24
1,200,44.25,0,1,0,0,0,23
1,116,44.75,2,0,0,2,0,27
1,200,46.125,1,1,0,0,0,25
1,165,37.4375,1,0,0,1,1,27
1,193,49.5625,4,1,0,0,2,21
1,140,39.4375,0,0,0,0,0,22
1,39,39.9375,4,2,0,1,1,24
1,126,42.125,0,1,0,0,0,25
1,107,40.3125,0,1,0,0,0,20
1,165,44.5625,0,0,0,0,0,21
1,91,43.1875,0,1,1,0,0,28
1,137,40.5,1,2,0,1,0,14
1,155,47.1875,2,0,0,0,2,18
1,149,36.3125,1,1,1,1,0,23
1,200,47.625,2,1,0,2,2,18
1,200,47,0,1,0,0,0,21
1,141,46.3125,2,1,0,1,0,30
1,109,44.3125,2,0,0,0,0,27
1,200,48,3,0,0,0,1,22
1,140,46.25,2,1,0,0,0,20
1,107,44.1875,4,0,0,2,1,23
1,128,44.5625,0,4,0,0,0,20
1,194,46.1875,0,0,0,0,0,26
1,170,43.8125,3,0,0,1,1,31
1,200,46.1875,0,0,1,0,0,22
1,193,40,1,0,0,1,0,21
1,200,49,2,0,0,1,2,18
1,161,43.75,0,1,0,0,0,20
1,200,50,0,0,0,0,0,25
1,194,43.0625,1,0,1,1,0,23
1,83,40.375,1,1,0,1,1,27
