Victory,Remaining HP,Reward,Times Healed Ally,Times Coordinated Stuns,Times Coordinated Blinds, Times Healed Vulnerable Ally, Times Healed Weaker Ally, Battle Length
1,71,33.875,0,0,0,0,0,18
1,100,37.5,0,1,0,0,0,16
1,172,46.5,0,2,0,0,0,20
1,29,28.625,0,2,0,0,0,21
1,200,50,0,0,0,0,0,18
1,55,31.875,0,0,0,0,0,18
1,178,47.25,0,1,1,0,0,22
1,152,44,0,1,0,0,0,17
1,200,50,0,0,1,0,0,23
1,9,26.125,0,1,0,0,0,22
1,80,35,0,1,0,0,0,20
1,200,50,0,1,0,0,0,18
1,86,35.75,0,4,1,0,0,19
1,84,35.5,0,1,0,0,0,19
1,106,38.25,0,0,0,0,0,19
1,147,43.375,0,0,0,0,0,19
1,55,31.875,0,0,0,0,0,19
1,186,48.25,0,1,1,0,0,21
0,0,25,2,0,0,0,0,30
1,120,40,0,0,0,0,0,19
0,0,25,0,0,0,0,0,22
1,170,46.25,0,0,0,0,0,21
1,124,40.5,0,1,0,0,0,21
1,47,30.875,1,0,1,0,0,22
1,98,37.25,0,0,0,0,0,20
1,119,39.875,0,0,0,0,0,22
1,135,41.875,0,1,0,0,0,17
1,13,26.625,0,1,0,0,0,22
1,78,34.75,0,1,0,0,0,20
1,52,31.5,0,2,0,0,0,17
1,18,27.25,0,0,1,0,0,23
1,3,25.375,0,0,1,0,0,20
1,117,39.625,2,1,0,0,0,18
1,116,39.5,0,0,1,0,0,17
1,200,50,0,1,1,0,0,20
1,200,50,0,1,1,0,0,19
1,142,42.75,0,1,0,0,0,21
1,170,46.25,0,0,0,0,0,20
1,166,45.75,0,0,0,0,0,23
1,200,50,0,0,1,0,0,22
1,81,35.125,0,0,0,0,0,20
1,89,36.125,0,1,0,0,0,19
1,125,40.625,0,1,0,0,0,21
1,48,31,2,0,0,0,0,22
1,47,30.875,0,0,1,0,0,20
1,84,35.5,0,0,0,0,0,19
0,0,25,0,0,0,0,0,26
1,184,48,0,0,0,0,0,22
