Victory,Remaining HP,Reward,Times Healed Ally,Times Coordinated Stuns,Times Coordinated Blinds, Times Healed Vulnerable Ally, Times Healed Weaker Ally, Battle Length
1,176,42.1875,2,0,1,2,2,28
0,0,11.5625,0,0,0,0,0,26
1,61,28.8125,1,0,0,1,1,50
0,0,23.1875,1,1,0,1,1,46
1,54,28.375,1,0,0,1,1,45
1,200,46.875,4,1,0,4,4,29
0,0,12.4375,1,0,0,1,0,22
1,62,28.875,1,0,0,1,0,40
1,122,32.625,1,0,0,1,1,27
1,200,43.3125,2,0,2,2,2,30
0,0,15.3125,1,1,0,0,1,38
1,117,32.3125,1,0,0,1,1,37
1,200,46.125,1,1,0,1,1,24
1,200,42.9375,2,1,1,2,2,38
1,200,44.75,4,1,1,4,4,32
0,0,23.375,1,0,0,1,1,43
1,101,31.3125,1,0,0,1,1,45
1,200,43.25,1,0,0,0,0,27
1,200,41.6875,2,1,0,2,2,23
0,0,18.0625,1,0,0,1,1,39
0,0,8.5,1,0,0,1,1,22
0,0,6.6875,1,0,0,1,1,24
1,138,34,1,0,0,1,1,24
1,186,42.1875,2,2,0,0,2,23
0,0,13.25,1,1,0,1,0,22
1,136,33.5,1,0,0,1,1,41
1,200,46.75,3,1,0,1,3,27
1,27,26.6875,1,0,0,1,1,45
1,59,28.6875,1,0,0,1,1,54
1,200,47.875,1,0,0,1,1,26
1,64,29,0,0,0,0,0,38
1,169,35.5625,6,0,0,5,3,57
0,0,11.5,1,0,0,1,1,23
1,93,30.8125,1,0,0,1,1,36
0,0,6.875,0,0,0,0,0,24
0,0,24.375,1,0,0,1,1,50
1,28,26.75,2,0,0,2,2,54
0,0,11.8125,1,0,0,1,1,26
1,167,40.5625,4,0,1,4,2,32
0,0,16.125,1,0,0,1,1,46
1,35,27.1875,1,0,0,1,0,43
1,186,46.1875,5,0,0,4,4,35
1,200,46.5,1,0,1,1,1,20
1,200,42.0625,2,0,0,2,1,36
1,37,27.3125,2,0,0,2,1,54
1,44,27.75,1,0,0,1,1,41
1,200,40.1875,2,0,0,1,2,36
1,200,44.5625,1,0,0,0,1,30
1,176,43.3125,2,0,0,2,1,25
1,176,48.5,4,1,1,1,1,30
1,182,48.875,7,0,0,5,1,45
1,150,46.875,3,0,0,3,1,31
0,0,24,1,1,0,1,1,48
1,163,39.0625,2,0,0,2,0,28
1,146,45.0625,1,2,0,1,1,26
1,176,38.875,1,1,2,1,1,28
1,176,42,3,0,1,3,1,46
0,0,13.3125,0,1,0,0,0,23
1,164,35.25,1,1,0,1,1,38
1,200,42.875,2,0,0,2,2,36
0,0,22.875,1,0,0,1,1,42
1,200,40.375,1,0,0,1,1,41
0,0,23.5,1,0,0,1,1,50
0,0,12.0625,0,0,0,0,0,26
1,200,40.125,1,0,1,1,0,32
0,0,11.1875,1,0,0,1,1,24
1,200,43.625,2,0,0,2,2,28
0,0,10.4375,1,1,0,1,1,34
1,89,30.5625,1,0,0,1,1,62
1,35,27.1875,1,1,0,1,1,46
1,184,38.5,1,0,0,0,1,28
0,0,16.9375,1,0,0,1,1,41
1,200,46.125,5,1,0,3,1,27
0,0,22.6875,1,1,0,1,1,41
1,170,41.75,1,0,0,1,1,23
1,116,32.25,1,0,1,1,1,38
0,0,7.0625,1,0,0,0,1,22
1,200,48.3125,5,0,0,2,5,28
0,0,14.875,1,1,0,0,0,31
