Victory,Remaining HP,Reward,Times Healed Ally,Times Coordinated Stuns,Times Coordinated Blinds, Times Healed Vulnerable Ally, Times Healed Weaker Ally, Battle Length
1,114,44.625,3,2,1,1,0,29
1,118,42.4375,0,0,0,0,0,22
1,158,47.375,2,1,2,0,0,30
1,77,36.75,1,0,1,1,0,20
1,36,38.25,1,1,0,0,0,27
1,166,43.375,2,0,1,2,0,22
1,200,40.5625,1,1,0,1,0,28
1,200,46.6875,1,0,1,0,0,18
1,173,36.75,1,0,0,1,0,29
1,86,41.875,3,0,0,3,0,28
1,62,39.0625,2,0,0,1,0,20
1,184,43.875,1,1,0,1,0,24
1,0,33.5625,0,0,0,0,0,28
1,34,39.625,2,1,1,0,0,23
1,196,47.375,0,1,0,0,0,21
1,131,45.6875,3,1,0,1,1,22
1,200,48.0625,2,0,0,1,1,23
1,162,45.9375,2,1,1,1,1,23
1,200,43.1875,4,1,0,0,1,26
1,127,45.4375,2,0,0,0,0,28
1,28,37.6875,1,1,0,0,0,21
1,32,32.625,0,0,0,0,0,22
1,100,41.25,0,2,0,0,0,27
1,196,43.6875,2,0,0,2,0,26
1,145,38.375,1,0,0,1,1,19
1,97,43.5625,0,0,0,0,0,19
1,176,36.375,1,0,0,1,0,20
1,128,43.6875,3,1,0,2,0,28
1,126,40.9375,0,0,0,0,0,20
1,177,41.1875,1,0,0,1,1,22
1,135,33.4375,1,0,0,1,0,30
1,196,48.75,1,0,0,0,0,28
1,106,44.125,0,0,0,0,0,22
1,133,40.0625,1,2,0,1,1,29
1,46,38.875,0,0,0,0,0,24
1,76,42.25,5,1,0,1,0,20
1,64,41.5,2,0,0,0,0,24
1,154,43.875,2,0,0,2,0,23
1,145,40.5625,1,0,0,1,0,20
1,0,34.8125,1,0,0,0,0,26
1,157,47.3125,4,0,0,1,1,26
1,147,34.1875,1,1,0,1,0,25
1,193,44.25,3,1,0,3,1,21
1,105,42.8125,0,0,0,0,0,22
1,200,46.75,0,1,1,0,0,24
1,105,41.6875,1,0,0,0,0,21
1,200,43.625,1,1,0,1,0,26
1,147,44.8125,1,0,0,1,0,21
1,178,37.875,0,0,0,0,0,23
1,60,39.0625,1,0,0,1,1,20
1,6,37.875,1,1,0,0,0,25
1,109,42.875,3,0,1,1,1,28
1,164,44.5,0,1,1,0,0,28
1,17,37.5625,0,1,0,0,0,27
1,53,39.875,3,1,0,1,0,25
1,200,45.75,2,0,0,1,1,24
1,192,39.9375,2,1,1,2,1,27
1,90,35.5,2,1,0,2,0,26
1,150,44.5,0,2,0,0,0,21
1,104,44,2,0,0,1,2,26
1,200,48.0625,1,1,0,1,1,21
1,182,39.9375,1,0,0,1,1,25
1,91,43,1,3,1,1,0,27
1,9,35.5625,1,0,0,1,0,22
1,164,41.5625,0,0,0,0,0,24
1,105,39.75,3,2,0,3,1,27
1,0,30.1875,0,1,0,0,0,22
1,154,47.125,1,1,0,0,0,27
1,123,35.3125,1,0,0,1,0,22
1,185,42.0625,0,2,0,0,0,33
1,130,43.125,0,0,0,0,0,21
1,200,50,0,0,0,0,0,28
1,128,36.75,0,0,0,0,0,25
1,180,42.5625,1,1,1,1,0,28
1,189,39.5625,0,1,0,0,0,20
1,188,36.75,0,0,0,0,0,28
1,105,36.1875,1,1,0,1,1,21
1,178,45.25,1,1,0,1,0,29
1,185,39.8125,0,0,0,0,0,23
1,91,30.6875,1,1,0,1,0,27
1,16,37.5,0,0,0,0,0,24
1,60,33.625,0,0,0,0,0,20
1,169,41,3,1,0,3,0,22
1,97,38.9375,1,0,0,1,1,22
1,200,41.5625,1,1,0,1,0,28
1,166,41.0625,1,1,0,1,1,23
1,117,42,1,2,0,1,0,25
1,52,40.75,2,1,0,0,0,21
1,196,44.9375,0,1,0,0,0,18
1,150,43.5625,1,0,0,1,0,26
1,102,34.5625,0,0,0,0,0,20
1,140,44.5,1,0,0,1,1,22
1,186,45.8125,0,0,1,0,0,21
1,184,39.25,1,0,0,1,1,17
1,169,35.5625,1,0,0,1,1,23
1,67,41.6875,0,1,0,0,0,26
1,131,42.625,1,0,0,1,0,26
1,184,36.5,1,1,0,1,1,26
1,138,43.1875,1,0,0,0,1,21
1,33,39.5625,1,1,0,0,0,23
