Victory,Remaining HP,Reward,Times Healed Ally,Times Coordinated Stuns,Times Coordinated Blinds, Times Healed Vulnerable Ally, Times Healed Weaker Ally, Battle Length
0,0,21.4375,0,1,0,0,0,38
1,184,45.125,1,1,0,1,0,30
1,42,38,2,0,0,1,1,44
0,0,20.75,0,0,0,0,0,33
0,0,19.3125,0,1,0,0,0,36
1,152,38.8125,2,1,0,1,0,35
1,200,44.5,2,0,0,2,0,29
0,0,9.3125,1,0,0,1,0,24
1,0,31.125,1,0,0,0,0,31
1,139,39.875,2,0,0,2,2,30
1,193,40.3125,1,0,0,1,0,30
1,53,36.0625,0,0,0,0,0,32
0,0,24.5,1,0,0,1,1,43
0,0,10.5,0,0,0,0,0,17
1,47,39.0625,0,0,0,0,0,25
1,117,44.8125,1,0,1,0,0,26
1,62,28.875,1,1,0,1,1,37
0,0,20.375,1,1,0,1,1,37
0,0,14.1875,0,0,0,0,0,28
1,0,36.6875,0,0,0,0,0,34
1,127,45.4375,3,0,0,0,0,30
0,0,23.375,1,0,0,1,1,36
1,187,42.75,2,0,0,2,1,33
0,0,14.375,0,0,0,0,0,23
0,0,10.8125,1,0,0,1,0,27
0,0,12,1,0,0,1,0,25
1,5,37.8125,1,0,0,0,0,25
0,0,16.375,1,0,0,1,1,29
1,3,25.1875,2,1,0,2,0,51
1,67,29.1875,2,0,0,2,1,43
0,0,17.6875,1,0,0,0,0,35
1,0,33.6875,0,0,0,0,0,37
1,191,47.625,2,0,0,0,1,34
1,80,34.5,0,0,1,0,0,32
1,92,43.25,1,2,0,0,0,29
1,89,39.375,0,1,0,0,0,31
1,130,45.625,1,1,0,0,0,33
1,135,41.6875,6,1,0,2,1,48
1,82,42.625,1,0,1,0,0,31
1,193,42.625,1,1,0,1,1,25
1,0,29,1,0,0,1,0,40
1,0,33.6875,2,0,0,0,0,35
1,186,48.0625,3,0,0,2,0,38
1,8,38,0,0,0,0,0,26
1,200,37.5,1,1,0,1,1,31
1,134,40.375,1,1,0,1,1,33
1,0,32.875,2,0,0,1,1,33
0,0,14.1875,0,0,0,0,0,24
0,0,14.5625,0,0,0,0,0,26
1,0,29.875,2,0,0,0,0,38
0,0,24.8125,0,1,0,0,0,44
0,0,13.8125,1,0,0,1,0,27
1,105,43.0625,3,0,1,2,0,43
0,0,23.75,1,1,0,1,1,49
1,76,42.25,0,0,0,0,0,26
1,5,36.5,0,1,0,0,0,27
1,97,36,1,0,1,1,0,32
1,187,40.75,1,1,0,1,1,33
1,200,42.625,2,2,0,1,1,29
1,162,36.8125,1,0,1,1,1,25
1,200,48.0625,2,0,0,1,2,27
0,0,18,2,2,0,1,1,29
1,107,31.6875,1,0,0,1,1,33
1,57,38.75,0,1,0,0,0,33
1,113,32.0625,1,1,0,1,1,39
1,57,40.0625,0,0,0,0,0,29
1,200,43.6875,2,1,0,1,0,34
1,131,42.6875,2,2,0,2,1,32
1,59,28.6875,1,0,0,1,0,37
1,0,29.25,1,0,0,1,0,39
1,97,42.625,2,2,1,2,0,29
1,0,33.0625,0,1,0,0,0,32
1,28,39.25,0,1,0,0,0,23
1,0,36.5625,1,1,0,0,0,33
1,118,32.375,0,0,0,0,0,34
1,0,28.8125,0,0,0,0,0,39
0,0,23.875,0,0,0,0,0,46
1,120,32.5,1,0,0,0,0,34
1,44,27.75,1,0,0,1,0,35
1,151,36.4375,1,0,0,1,0,35
1,148,44.1875,0,0,0,0,0,29
1,200,42.1875,1,0,0,1,1,26
0,0,24.5,1,0,0,1,0,44
0,0,21.8125,2,1,0,2,0,45
1,137,33.875,1,0,0,1,1,33
0,0,24.25,0,0,0,0,0,41
1,37,39.8125,1,0,0,0,0,26
1,37,38.125,1,1,2,0,0,36
1,164,44.4375,1,0,0,1,0,34
1,192,43.1875,1,2,0,1,1,34
1,154,36.1875,1,0,0,1,0,38
1,151,34.4375,1,1,1,1,0,35
1,0,29.875,0,1,1,0,0,42
0,0,24.625,0,0,0,0,0,43
1,0,25.5625,0,0,0,0,0,39
1,116,44.75,0,0,1,0,0,35
1,79,42.4375,2,0,1,1,0,39
0,0,14.125,1,0,0,1,0,25
1,162,46.125,1,0,0,0,0,33
0,0,11.4375,1,0,0,0,0,25
1,38,27.375,1,1,0,1,1,41
1,171,46.125,2,1,2,0,1,25
1,116,32.25,1,0,0,1,0,33
1,0,35.0625,0,0,0,0,0,33
0,0,23.625,0,1,0,0,0,46
1,186,38.1875,2,1,0,2,0,35
0,0,22.5625,0,1,0,0,0,41
0,0,17.875,0,0,0,0,0,34
0,0,8.5,1,0,0,1,0,23
1,112,41.4375,0,0,0,0,0,38
1,150,38.75,3,1,0,3,1,35
1,77,29.8125,1,0,0,1,0,41
1,112,44.5,2,1,1,0,0,30
1,161,41.25,1,2,0,1,0,26
1,200,42.25,2,0,1,2,1,31
1,0,26.25,0,0,0,0,0,47
1,200,41.25,2,1,1,2,2,28
1,195,49.6875,1,1,0,0,0,33
1,200,45.125,2,0,0,2,1,35
1,163,35.875,1,1,0,1,0,32
1,82,40.8125,0,1,1,0,0,25
1,47,37.5625,2,0,0,0,0,27
1,111,43.125,1,0,1,0,0,34
1,0,37.5,0,0,0,0,0,40
1,0,29.625,0,0,2,0,0,45
0,0,24.5,1,0,0,1,0,33
1,0,32.0625,0,1,0,0,0,42
1,144,43.8125,1,2,1,1,0,28
1,147,34.1875,1,0,0,1,1,30
1,200,44.0625,1,0,1,1,0,31
1,86,30.375,1,0,0,1,0,39
1,109,31.8125,1,0,0,1,0,40
1,186,36.625,1,0,0,0,1,32
0,0,12.5,1,0,0,1,0,25
1,111,44.4375,3,1,0,1,0,32
1,155,46.375,0,1,0,0,0,26
0,0,21.0625,1,0,0,1,0,30
