Victory,Remaining HP,Reward,Times Healed Ally,Times Coordinated Stuns,Times Coordinated Blinds
0,200,0,0,0,0
1,200,46.1875,1,0,0
1,200,39.5,1,0,0
1,200,45.8125,1,1,0
1,200,41,1,0,0
1,200,42.375,1,0,0
1,200,45.9375,2,0,0
1,200,49,3,0,0
1,200,41.375,1,0,0
1,200,50,2,0,0
1,137,40.6875,3,0,0
1,200,48.875,1,0,0
1,200,46.3125,1,2,0
1,200,49.375,3,0,0
1,200,41.5,1,0,0
1,169,44.25,1,1,0
1,200,43.875,1,0,0
1,200,43.875,1,0,0
1,200,44.375,1,0,0
1,200,46.1875,1,0,0
1,200,48.0625,2,0,0
1,200,47.6875,3,0,0
1,155,36.75,1,0,0
1,153,36.9375,1,0,0
1,200,47.1875,2,0,1
1,200,48.375,3,0,0
1,200,44.0625,3,1,0
1,200,40.4375,2,0,0
1,200,43.375,1,1,0
1,200,45.25,1,1,0
1,200,44.875,1,0,0
1,185,43.75,3,0,0
1,200,48.6875,2,1,0
1,200,42.3125,1,0,0
1,200,48.375,2,0,0
1,200,45.625,2,0,0
1,200,41,1,0,0
1,200,47.125,1,0,0
1,200,47.4375,1,0,0
1,200,41.375,1,0,0
1,200,47.125,1,0,0
1,200,45.9375,1,0,0
1,200,39.4375,1,0,0
1,106,31.625,1,0,0
1,200,43.1875,2,0,0
1,200,46.625,2,0,0
1,200,47.875,2,1,0
1,200,46.4375,2,0,0
1,200,49.3125,1,0,0
1,200,43.3125,1,0,0
1,200,46.25,1,0,0
1,200,46,2,0,0
1,200,45.9375,1,1,0
1,200,50,1,0,0
1,200,42.3125,1,0,1
1,200,42.4375,1,1,0
1,200,49,4,0,0
1,200,49.0625,1,1,0
1,200,49.5,2,1,0
1,169,44.125,1,0,0
1,200,39.0625,1,0,0
1,184,39.6875,1,0,0
1,200,43.6875,1,2,0
1,62,28.875,1,0,0
1,200,43.375,1,0,0
1,200,44.0625,2,1,0
1,185,44.3125,1,0,0
1,200,45.3125,1,0,0
1,200,46.0625,3,0,0
1,200,45.4375,2,1,0
1,200,45.875,2,0,0
1,200,44.5,1,0,0
1,200,44.9375,1,0,0
1,200,40.3125,1,0,0
1,185,43.6875,1,0,0
1,200,39.375,1,0,0
1,200,47.75,2,1,0
1,200,46,1,2,0
1,200,42.375,1,0,1
1,200,44.75,1,0,0
1,200,49.625,3,0,0
1,200,46.1875,1,1,0
1,153,46.9375,2,0,0
1,200,42.3125,1,0,0
1,200,45.4375,1,1,0
1,200,40.375,1,0,0
1,200,45.9375,1,0,0
1,200,44,1,0,0
1,200,48.4375,2,0,0
1,170,39.0625,1,0,0
1,61,28.8125,1,0,0
1,200,40.125,1,1,1
1,184,43.25,1,0,0
1,200,42.8125,1,0,0
1,169,44.5,5,1,0
1,200,43.25,1,0,0
1,200,50,3,1,0
1,200,44.6875,2,0,0
1,200,40.5,1,2,0
1,200,42.5625,1,0,0
1,200,43.5,1,0,0
1,200,45.1875,3,2,0
1,200,38.4375,1,0,0
1,200,45.4375,3,0,0
1,200,46.875,1,1,0
1,200,41.5,1,0,0
1,184,36.625,1,0,1
1,200,47.0625,2,1,0
1,200,46.0625,2,1,0
1,184,45.4375,3,1,0
1,200,45.3125,1,0,0
1,200,44.4375,1,0,1
1,200,47.5625,2,0,0
1,200,46.875,1,1,0
1,200,40.5,1,0,0
1,170,35.625,3,0,0
1,200,40.875,2,1,0
1,184,44,1,0,0
1,200,47.125,3,1,0
1,200,47.0625,1,0,1
1,200,40.4375,1,2,0
1,200,44.5625,3,0,0
1,200,43.25,1,0,0
1,200,44.0625,2,0,0
1,200,44.6875,1,1,0
1,200,46.875,1,0,1
1,200,44.3125,2,2,0
1,200,42.5625,1,1,0
1,200,41.4375,1,0,1
1,185,42.375,1,1,0
1,200,45.4375,2,1,0
1,200,48.75,1,2,0
1,200,49.0625,3,2,0
1,200,44.3125,1,1,0
1,200,41.4375,1,0,1
1,200,46.9375,1,0,0
1,200,42.625,2,1,0
1,200,43,1,0,0
1,200,40.25,1,1,0
1,200,45.0625,2,0,0
1,152,47,2,0,0
1,200,41.0625,2,0,0
1,101,31.3125,0,0,1
1,200,44,2,0,0
1,200,44,2,0,0
1,200,46.6875,1,0,0
1,200,48.3125,1,0,0
1,200,40.625,1,1,0
1,200,43.5,2,0,0
1,193,45.3125,2,0,1
1,200,42.875,1,0,0
1,200,47.8125,1,1,0
1,200,41.5,1,0,0
1,200,50,2,0,0
1,200,46.1875,1,0,0
1,200,44.4375,1,0,0
1,200,41.125,2,1,0
1,200,41.5,1,0,0
1,200,42.5625,1,1,0
1,200,47.375,1,0,0
1,200,47,3,1,0
1,200,46,2,0,0
1,200,45.875,1,0,0
1,200,50,3,2,1
1,200,48.0625,1,0,0
1,200,44.3125,0,0,0
1,200,48,3,0,0
1,200,46.75,1,1,0
1,200,50,4,0,0
1,200,44,1,0,0
1,200,47.8125,1,0,0
1,200,43.3125,1,1,0
1,200,39.5,1,1,0
1,200,50,4,0,0
1,200,42.875,1,0,0
1,200,41.5,1,0,0
1,200,44.9375,1,1,0
1,200,47.75,1,1,0
1,200,39.4375,1,1,0
1,200,45.4375,1,0,0
1,200,46.125,1,1,0
1,200,47.375,1,1,0
1,123,45.125,2,0,0
1,200,42.8125,1,0,0
1,200,44.1875,1,1,0
1,200,46.875,1,0,0
1,200,43.4375,1,0,0
1,200,43.1875,1,2,0
1,200,45.25,1,0,0
1,200,47.6875,3,0,0
1,200,45.75,1,0,0
1,200,49.625,3,0,0
1,200,50,1,1,0
1,200,48.1875,1,1,0
1,200,44.0625,2,0,1
1,200,48.25,2,0,0
1,200,50,3,0,0
1,200,45.9375,2,0,0
1,185,36.5625,1,1,0
1,200,42.3125,1,0,0
1,200,39.6875,1,0,0
1,200,46.4375,2,0,0
1,200,50,2,0,0
1,200,43.75,1,0,0
1,200,46.875,2,0,0
1,200,44.4375,2,1,0
1,184,44.875,1,0,0
1,200,44.4375,1,0,0
1,200,46.5,2,0,0
1,200,47.1875,1,1,0
1,200,44.125,1,2,0
1,200,49,3,0,0
1,200,44.375,1,2,0
1,200,48,2,1,0
1,200,40.4375,1,1,0
1,200,44.5,1,0,0
1,200,49.1875,1,0,0
1,200,44.1875,1,0,0
1,200,40.5625,1,0,0
1,200,47.8125,1,1,0
1,200,38.5625,1,0,0
1,200,44.625,1,0,0
1,200,49.0625,1,1,0
1,200,41.5,1,0,0
1,200,49.75,1,0,0
1,200,45,2,0,0
1,200,40.1875,1,1,0
1,200,46.75,1,1,1
1,200,43.125,1,0,0
1,200,44.25,1,0,0
1,200,40.4375,1,0,0
1,200,40.5,1,1,1
1,200,41.875,1,2,0
1,200,43.375,1,1,0
1,200,45.375,1,0,0
1,200,48.0625,1,0,0
1,200,37.8125,0,0,0
1,200,44.8125,2,0,0
1,200,46.4375,1,0,0
1,200,42.625,1,0,0
1,200,44.9375,1,0,0
1,200,44,2,0,0
1,200,46.125,1,1,0
1,200,49,2,0,0
1,200,45.375,1,1,1
1,200,49,2,0,0
1,200,45.1875,1,1,0
1,200,43.5,1,0,0
1,200,46.875,1,1,0
1,200,45.375,1,0,0
1,200,47,2,0,0
1,107,31.6875,1,0,0
1,200,42.9375,1,1,0
1,200,50,2,2,0
1,200,47.5,3,1,1
1,200,48.6875,3,1,0
1,200,46.9375,1,0,0
1,200,43.5,1,1,0
1,200,46.6875,1,0,0
1,200,41.1875,1,1,0
1,200,42.8125,2,0,0
1,200,44.4375,1,0,0
1,200,48.0625,4,0,0
1,200,49.4375,2,1,0
1,200,49.0625,3,1,0
1,200,44.1875,1,0,0
1,200,46.0625,2,0,0
1,137,33.5625,0,0,0
1,200,47.4375,2,1,0
1,200,42,1,1,0
1,200,45.25,1,1,0
1,200,42.3125,1,0,1
1,200,46.6875,2,0,0
1,200,44.6875,1,0,0
1,200,43.375,2,1,0
1,200,49.8125,1,0,0
1,200,44.3125,1,0,0
1,153,34.5625,0,0,0
1,200,48.4375,2,0,0
1,200,41.5,1,0,0
1,123,45.1875,2,0,0
1,200,43.3125,1,0,0
1,200,41.375,1,0,0
1,200,41.9375,1,1,0
1,153,39.8125,2,0,0
1,92,30.75,1,0,0
1,200,40.25,1,1,0
1,200,40.5,1,1,0
1,39,27.4375,1,0,0
1,200,47.0625,3,0,1
1,200,41.5625,1,0,0
1,200,47.875,1,0,1
1,154,43.5625,2,0,0
1,200,45.875,1,1,0
1,200,45.9375,1,0,0
1,200,42.4375,1,1,0
1,200,46.75,2,0,0
1,200,45.5,2,0,0
1,200,41.5625,1,1,0
1,200,45.3125,1,0,0
1,200,37.5,0,0,0
1,200,44.0625,1,0,0
1,200,50,2,2,0
1,200,44.5625,1,0,0
