Victory,Remaining HP,Reward,Times Healed Ally,Times Coordinated Stuns,Times Coordinated Blinds, Times Healed Vulnerable Ally, Times Healed Weaker Ally, Battle Length
0,0,7.8125,0,0,0,0,0,28
1,200,50,0,0,0,0,0,26
0,0,21.1875,0,0,0,0,0,50
1,29,28.625,0,0,0,0,0,46
0,0,21.625,0,0,0,0,0,45
0,0,3.125,0,0,0,0,0,29
1,200,50,0,0,0,0,0,22
0,0,21.125,0,0,0,0,0,40
0,0,17.375,0,0,0,0,0,27
0,0,6.6875,0,0,0,0,0,30
1,155,44.375,0,0,0,0,0,38
0,0,17.6875,0,0,0,0,0,37
0,0,3.875,0,0,0,0,0,24
0,0,7.0625,0,0,0,0,0,38
0,0,5.25,0,0,0,0,0,32
1,26,28.25,0,0,1,0,0,43
0,0,18.6875,1,0,0,1,0,45
0,0,6.75,0,0,0,0,0,27
0,0,8.3125,0,0,0,0,0,23
1,111,38.875,0,0,0,0,0,39
1,176,47,0,0,0,0,0,22
1,200,50,0,0,0,0,0,24
0,0,16,0,0,0,0,0,24
0,0,7.8125,0,0,0,0,0,23
1,188,48.5,0,0,0,0,0,22
0,0,16.5,0,0,0,0,0,41
0,0,3.25,0,0,0,0,0,27
0,0,23.3125,0,0,0,0,0,45
0,0,21.3125,0,0,0,0,0,54
0,0,2.125,0,0,0,0,0,26
0,0,21,0,0,0,0,0,38
0,0,14.4375,0,0,0,0,0,57
1,200,50,0,0,0,0,0,23
0,0,19.1875,0,0,0,0,0,36
1,200,50,0,0,0,0,0,24
1,10,26.25,0,0,0,0,0,50
0,0,23.25,0,0,0,0,0,54
1,200,50,0,0,0,0,0,26
0,0,9.4375,0,0,0,0,0,32
1,142,42.75,0,0,0,0,0,46
0,0,22.8125,0,1,0,0,0,43
0,0,3.8125,0,0,0,0,0,35
0,0,3.5,0,0,0,0,0,20
0,0,7.9375,0,1,0,0,0,36
0,0,22.6875,1,0,0,1,0,54
0,0,22.25,0,0,0,0,0,41
0,0,9.8125,0,0,0,0,0,36
0,0,5.4375,0,0,0,0,0,30
0,0,6.6875,0,0,0,0,0,25
0,0,1.5,0,0,0,0,0,30
0,0,1.125,0,0,0,0,0,45
0,0,3.125,0,0,0,0,0,31
1,16,27,0,0,0,0,0,48
0,0,10.9375,0,0,0,0,0,28
0,0,4.9375,0,0,0,0,0,26
0,0,11.125,0,1,0,0,0,28
0,0,8,0,0,0,0,0,46
1,187,48.375,0,0,0,0,0,23
0,0,14.75,1,0,0,1,0,38
0,0,7.125,0,0,0,0,0,36
1,34,29.25,0,1,0,0,0,42
0,0,9.625,0,0,0,0,0,41
1,24,28,1,0,0,1,0,50
1,200,50,0,0,0,0,0,26
0,0,9.875,0,0,0,0,0,32
1,200,50,0,0,0,0,0,24
0,0,6.375,0,0,0,0,0,28
1,200,50,0,0,0,0,0,34
0,0,19.4375,1,1,1,1,0,62
0,0,22.8125,0,0,0,0,0,46
0,0,11.5,0,0,0,0,0,28
1,129,41.125,0,0,1,0,0,41
0,0,3.875,0,0,0,0,0,27
1,37,29.625,0,1,0,0,0,41
0,0,8.25,0,0,0,0,0,23
0,0,17.75,1,0,0,1,0,38
1,200,50,0,0,0,0,0,22
0,0,1.6875,0,0,0,0,0,28
1,162,45.25,0,0,0,0,0,31
0,0,7.1875,0,0,0,0,0,27
0,0,23,0,0,0,0,0,45
0,0,18.0625,2,1,0,2,0,46
1,64,33,0,0,0,0,0,35
1,200,50,0,0,0,0,0,22
1,164,45.5,0,1,0,0,0,42
0,0,6.9375,0,0,0,0,0,34
0,0,11.8125,0,0,0,0,0,23
0,0,5.8125,0,0,0,0,0,22
0,0,16.625,0,0,0,0,0,38
0,0,19.875,0,0,0,0,0,39
0,0,11.875,0,0,0,0,0,36
1,100,37.5,0,0,0,0,0,42
1,11,26.375,0,0,0,0,0,45
1,200,50,0,0,0,0,0,22
0,0,23,0,0,0,0,0,40
0,0,2.75,0,0,0,0,0,22
0,0,5.8125,0,0,0,0,0,27
0,0,17.4375,0,0,0,0,0,46
0,0,12.5,0,0,0,0,0,33
0,0,0.9375001,0,0,0,0,0,30
0,0,17.25,2,0,0,2,0,50
0,0,3.25,0,0,0,0,0,28
0,0,6.125,0,0,0,0,0,31
0,0,4.9375,0,0,0,0,0,33
0,0,6.3125,0,0,0,0,0,26
0,0,8.1875,0,0,0,0,0,37
1,49,31.125,1,0,0,1,0,42
1,200,50,0,0,0,0,0,23
0,0,11.9375,0,0,0,0,0,23
0,0,10.875,0,0,0,0,0,22
0,0,3.75,0,0,0,0,0,39
0,0,16.4375,0,0,0,0,0,29
1,52,31.5,0,0,0,0,0,44
0,0,11.8125,0,0,0,0,0,28
0,0,10.4375,0,0,0,0,0,22
0,0,3.5625,0,0,0,0,0,38
0,0,0.625,0,0,0,0,0,29
1,200,50,0,0,0,0,0,22
0,0,12.6875,0,0,0,0,0,27
0,0,12.5,0,1,0,0,0,37
0,0,0.25,0,0,0,0,0,28
0,0,23.5,0,0,0,0,0,67
0,0,5.375,0,0,0,0,0,26
0,0,8.1875,0,0,0,0,0,29
0,0,9.1875,0,0,0,0,0,29
0,0,21.4375,0,0,0,0,0,57
0,0,4.0625,0,0,0,0,0,33
0,0,20.875,1,0,0,1,0,46
0,0,20.1875,0,0,0,0,0,40
0,0,17.0625,0,0,0,0,0,49
0,0,14.375,0,0,0,0,0,37
0,0,3.1875,0,0,0,0,0,30
0,0,3.5,0,0,0,0,0,27
0,0,19.0625,0,0,0,0,0,43
0,0,10.625,0,0,1,0,0,31
1,156,44.5,0,1,0,0,0,26
1,44,30.5,0,0,0,0,0,56
0,0,22.5,0,0,0,0,0,41
0,0,5.0625,0,0,0,0,0,37
0,0,20.625,0,0,0,0,0,48
1,61,32.625,0,0,0,0,0,38
0,0,3.625,0,0,0,0,0,25
0,0,17.75,0,1,0,0,0,45
1,66,33.25,0,0,0,0,0,41
1,85,35.625,0,0,0,0,0,43
0,0,6.0625,0,0,0,0,0,33
1,173,46.625,0,0,1,0,0,30
1,164,45.5,0,0,0,0,0,25
0,0,17.3125,0,1,0,0,0,49
0,0,6.5,0,0,0,0,0,35
0,0,1.6875,0,0,0,0,0,41
0,0,15.1875,0,0,0,0,0,36
0,0,12.0625,0,0,0,0,0,23
0,0,22.875,0,1,0,0,0,56
0,0,14.0625,0,0,0,0,0,29
0,0,5.125,0,0,0,0,0,34
0,0,6.5625,0,0,0,0,0,28
0,0,14.9375,0,0,0,0,0,51
0,0,2.625,0,0,1,0,0,36
0,0,4.625,0,0,0,0,0,28
0,0,10.375,0,0,0,0,0,34
0,0,9,0,0,0,0,0,23
0,0,9.375,0,0,0,0,0,26
0,0,13,0,0,0,0,0,28
0,0,16.3125,0,0,0,0,0,45
0,0,24.0625,0,1,0,0,0,58
0,0,15.8125,0,1,0,0,0,36
0,0,11.5625,0,1,0,0,0,35
0,0,9.0625,0,0,0,0,0,33
1,41,30.125,0,0,0,0,0,41
0,0,8.3125,0,0,0,0,0,42
1,52,31.5,0,0,0,0,0,49
0,0,2.375,0,0,0,0,0,30
0,0,9.0625,0,0,0,0,0,27
1,200,50,0,0,0,0,0,24
0,0,3.1875,0,0,0,0,0,26
0,0,8.875,0,0,0,0,0,23
0,0,15,0,0,0,0,0,36
0,0,14.5,1,0,0,1,0,43
0,0,24.3125,0,0,0,0,0,47
0,0,20,0,0,0,0,0,47
0,0,16.25,0,0,0,0,0,33
0,0,8.25,0,0,0,0,0,36
0,0,13.3125,0,0,0,0,0,40
1,96,37,0,1,0,0,0,37
1,200,50,0,0,0,0,0,25
0,0,10,0,0,0,0,0,25
1,48,31,0,0,0,0,0,41
1,200,50,1,1,0,1,1,27
0,0,7.75,0,0,0,0,0,38
0,0,6.3125,0,0,0,0,0,28
0,0,6.875,0,0,0,0,0,26
0,0,21.1875,0,0,0,0,0,40
1,30,28.75,0,0,0,0,0,44
1,156,44.5,0,0,0,0,0,38
1,19,27.375,0,0,0,0,0,41
1,200,50,0,0,0,0,0,22
0,0,9.125,0,0,0,0,0,29
0,0,10.5,0,0,0,0,0,29
0,0,7.3125,0,0,0,0,0,32
1,200,50,0,0,0,0,0,27
0,0,15.75,0,0,0,0,0,34
0,0,8.374999,0,1,0,0,0,22
0,0,10.625,0,0,0,0,0,25
0,0,10,0,0,0,0,0,26
0,0,12.5,0,0,0,0,0,29
0,0,0.1875,0,0,0,0,0,36
0,0,19.125,0,0,0,0,0,47
0,0,6.9375,0,0,0,0,0,29
1,25,28.125,0,0,0,0,0,58
0,0,21,1,0,0,1,0,42
0,0,6.6875,0,0,0,0,0,44
0,0,10.625,0,1,0,0,0,25
0,0,5.8125,0,0,0,0,0,31
1,200,50,0,0,0,0,0,30
0,0,4.125,0,0,0,0,0,36
0,0,17.1875,0,0,0,0,0,44
0,0,21.1875,0,0,0,0,0,57
0,0,9.4375,0,1,0,0,0,22
0,0,10.6875,0,0,0,0,0,25
0,0,19.6875,0,0,0,0,0,63
0,0,9.0625,0,0,0,0,0,30
0,0,3.4375,0,0,0,0,0,35
1,192,49,0,0,0,0,0,23
0,0,16.75,0,0,0,0,0,25
0,0,15.6875,0,0,0,0,0,30
0,0,14.6875,0,0,0,0,0,37
0,0,8.374999,0,0,0,0,0,41
0,0,10.875,0,0,0,0,0,33
1,188,48.5,0,0,0,0,0,24
0,0,12.5625,0,0,0,0,0,31
0,0,16.75,0,1,0,0,0,38
1,53,31.625,0,0,0,0,0,44
0,0,10.8125,0,0,0,0,0,38
1,185,48.125,0,0,0,0,0,28
0,0,6.75,0,0,0,0,0,25
0,0,18.75,0,1,0,0,0,42
0,0,6.0625,0,0,0,0,0,30
0,0,12.5,0,0,0,0,0,29
0,0,7.5625,0,0,1,0,0,26
1,138,42.25,0,0,0,0,0,38
0,0,14.1875,0,0,0,0,0,27
0,0,16.0625,0,0,0,0,0,34
0,0,7.5,0,0,0,0,0,44
0,0,20,0,0,0,0,0,43
0,0,10.25,0,0,0,0,0,28
0,0,23.1875,1,0,0,1,0,40
0,0,23.8125,0,0,0,0,0,66
0,0,4.1875,0,0,0,0,0,25
1,200,50,0,0,1,0,0,29
0,0,20.6875,0,0,0,0,0,35
0,0,20.5625,0,0,0,0,0,44
0,0,12.6875,0,1,0,0,0,39
0,0,20.875,0,0,0,0,0,59
0,0,2.4375,0,0,0,0,0,25
0,0,3.8125,0,0,0,0,0,54
0,0,23.375,0,0,0,0,0,44
1,200,50,0,0,0,0,0,21
0,0,8.75,0,0,0,0,0,37
1,200,50,0,0,0,0,0,21
0,0,7.4375,0,1,0,0,0,36
0,0,7.8125,0,0,0,0,0,24
0,0,13.5,0,0,0,0,0,36
0,0,22.5625,0,0,0,0,0,44
0,0,8.8125,0,0,0,0,0,42
0,0,3.1875,0,0,0,0,0,31
0,0,9.625,0,0,0,0,0,28
0,0,5.5625,0,0,0,0,0,27
0,0,6.5625,0,0,0,0,0,33
0,0,17.1875,0,0,1,0,0,38
0,0,2.5,0,0,0,0,0,34
0,0,5.125,0,0,0,0,0,25
0,0,4.5,0,0,0,0,0,37
0,0,11.625,0,1,0,0,0,44
0,0,11.0625,0,0,0,0,0,33
0,0,13.1875,0,0,0,0,0,32
0,0,6.0625,0,0,0,0,0,35
0,0,7.25,0,0,0,0,0,33
0,0,3,0,0,0,0,0,30
0,0,11.5,0,0,0,0,0,23
1,200,50,0,0,0,0,0,22
1,200,50,0,0,1,0,0,29
0,0,9.375,0,0,0,0,0,41
0,0,4.5625,0,0,0,0,0,34
0,0,9.875,0,0,0,0,0,28
1,119,39.875,0,0,0,0,0,35
1,200,50,0,0,0,0,0,22
0,0,8.25,0,1,0,0,0,27
0,0,15.875,0,0,0,0,0,34
0,0,15,0,0,0,0,0,38
0,0,14.8125,0,0,0,0,0,44
0,0,0.75,0,0,0,0,0,38
0,0,20.9375,0,0,0,0,0,55
0,0,9.375,0,0,0,0,0,27
0,0,23.375,0,0,0,0,0,60
0,0,7,0,0,0,0,0,32
0,0,10.75,0,0,0,0,0,29
1,72,34,0,0,2,0,0,41
0,0,23.4375,1,0,0,1,0,56
1,200,50,0,0,0,0,0,27
0,0,17.875,0,0,0,0,0,37
0,0,13.4375,0,0,0,0,0,37
1,131,41.375,0,0,0,0,0,40
1,200,50,0,0,1,0,0,23
0,0,9.0625,0,0,0,0,0,40
1,5,25.625,1,0,0,1,0,49
0,0,22.375,0,0,0,0,0,39
0,0,5.3125,0,1,0,0,0,40
0,0,24.0625,1,0,1,1,0,49
0,0,6.5625,0,0,0,0,0,32
0,0,3,0,0,0,0,0,27
0,0,7.4375,0,0,0,0,0,28
0,0,14.4375,0,1,0,0,0,47
0,0,21.5625,0,0,0,0,0,42
0,0,0,0,0,0,0,0,28
0,0,18.1875,0,1,0,0,0,38
1,166,45.75,0,0,0,0,0,31
1,200,50,0,0,0,0,0,25
0,0,7.125,1,0,0,1,0,33
1,70,33.75,0,0,0,0,0,31
1,93,36.625,0,0,0,0,0,40
0,0,4.9375,0,0,0,0,0,37
0,0,22.9375,1,0,0,1,0,52
0,0,3.3125,0,0,0,0,0,30
0,0,18.0625,0,0,0,0,0,50
0,0,5,0,0,0,0,0,30
0,0,8.812501,0,1,0,0,0,40
0,0,17.0625,0,0,1,0,0,41
1,200,50,0,1,0,0,0,23
0,0,15.9375,0,1,0,0,0,25
0,0,7.9375,0,0,0,0,0,37
0,0,6.3125,0,0,0,0,0,27
1,200,50,0,0,0,0,0,23
0,0,11,0,0,0,0,0,32
0,0,19.0625,0,1,0,0,0,39
0,0,23.6875,0,1,0,0,0,39
1,200,50,0,0,0,0,0,23
0,0,8.4375,0,0,0,0,0,23
0,0,7.9375,0,0,0,0,0,27
0,0,19.8125,0,0,0,0,0,42
0,0,10.625,0,0,0,0,0,39
1,149,43.625,0,0,0,0,0,35
0,0,20,0,0,0,0,0,41
1,176,47,0,0,0,0,0,32
0,0,6.125,0,0,0,0,0,30
0,0,10.25,0,1,0,0,0,26
0,0,19.625,0,0,0,0,0,45
0,0,4.0625,0,0,0,0,0,41
1,94,36.75,1,1,0,1,1,41
0,0,14.0625,0,0,0,0,0,25
0,0,3.75,0,0,0,0,0,29
1,63,32.875,0,0,0,0,0,41
0,0,5.5625,0,1,0,0,0,36
0,0,5,0,1,0,0,0,36
