Victory,Remaining HP,Reward,Times Healed Ally,Times Coordinated Stuns,Times Coordinated Blinds, Times Healed Vulnerable Ally, Times Healed Weaker Ally, Battle Length
0,0,12,0,0,1,0,0,20
1,69,33.625,0,0,0,0,0,31
1,200,50,0,0,0,0,0,32
1,187,48.375,0,0,0,0,0,27
1,21,27.625,0,0,1,0,0,47
1,40,30,0,0,0,0,0,35
1,184,48,0,0,0,0,0,26
0,0,22.4375,0,0,0,0,0,38
1,125,40.625,0,0,0,0,0,37
1,45,30.625,0,0,0,0,0,39
0,0,25,0,1,0,0,0,33
0,0,22.875,0,0,0,0,0,45
0,0,21.0625,0,0,0,0,0,37
0,0,25,2,0,0,2,0,43
0,0,10.375,0,0,0,0,0,23
0,0,25,1,0,0,0,0,39
1,14,26.75,0,0,0,0,0,41
0,0,22.0625,1,0,0,1,0,37
1,136,42,0,0,0,0,0,23
1,157,44.625,0,1,0,0,0,34
1,47,30.875,1,0,0,1,1,40
0,0,25,0,0,0,0,0,40
1,6,25.75,0,0,0,0,0,36
0,0,8.1875,0,0,0,0,0,20
0,0,10.375,0,0,0,0,0,25
0,0,18.1875,0,0,0,0,0,32
1,200,50,0,0,1,0,0,19
0,0,13.4375,0,0,1,0,0,21
0,0,14.8125,0,1,0,0,0,24
1,200,50,1,0,0,0,1,29
0,0,10.1875,0,0,0,0,0,20
1,155,44.375,0,0,0,0,0,26
1,77,34.625,0,0,0,0,0,39
1,46,30.75,1,0,0,1,0,44
0,0,19.875,0,0,0,0,0,41
1,11,26.375,0,1,0,0,0,22
0,0,12.8125,0,0,0,0,0,22
1,57,32.125,3,0,0,0,0,27
1,184,48,0,0,0,0,0,24
1,47,30.875,0,0,0,0,0,39
1,147,43.375,0,0,0,0,0,25
1,143,42.875,0,0,0,0,0,32
0,0,15.125,0,0,0,0,0,23
0,0,10.375,0,0,0,0,0,27
1,35,29.375,1,0,1,0,0,24
1,161,45.125,0,0,0,0,0,32
0,0,23.8125,0,0,0,0,0,42
1,79,34.875,0,0,0,0,0,25
0,0,10.75,0,0,0,0,0,20
0,0,24.625,0,0,0,0,0,37
1,200,50,0,0,0,0,0,22
0,0,9.999999,0,0,0,0,0,29
1,194,49.25,0,0,0,0,0,23
1,163,45.375,0,0,0,0,0,26
1,80,35,0,1,0,0,0,33
1,30,28.75,0,0,0,0,0,40
1,30,28.75,0,0,1,0,0,25
0,0,10.5625,0,0,1,0,0,23
0,0,22.75,0,0,0,0,0,52
0,0,25,2,0,0,0,0,27
1,11,26.375,0,0,0,0,0,39
1,193,49.125,0,0,0,0,0,30
1,163,45.375,0,0,0,0,0,32
0,0,21.9375,0,0,0,0,0,42
1,95,36.875,0,0,1,0,0,26
1,55,31.875,0,0,0,0,0,46
0,0,15.5,0,0,0,0,0,24
1,42,30.25,0,0,0,0,0,40
0,0,24.5625,0,0,0,0,0,42
1,57,32.125,1,0,1,0,0,31
1,94,36.75,1,0,0,1,0,34
0,0,24.75,1,0,0,0,0,43
0,0,25,0,0,0,0,0,39
1,171,46.375,0,0,0,0,0,32
1,67,33.375,1,0,0,0,0,26
0,0,25,2,0,0,0,0,29
0,0,22.0625,0,0,0,0,0,37
0,0,25,0,0,1,0,0,39
0,0,24.75,0,0,0,0,0,45
0,0,20.625,1,0,0,1,0,35
0,0,25,0,0,0,0,0,37
0,0,10.125,0,1,0,0,0,27
0,0,16.5,0,0,0,0,0,37
0,0,9.375,0,0,0,0,0,23
