Victory,Remaining HP,Reward,Times Healed Ally,Times Coordinated Stuns,Times Coordinated Blinds, Times Healed Vulnerable Ally, Times Healed Weaker Ally, Battle Length
1,200,50,0,0,0,0,0,19
1,163,45.375,0,0,0,0,0,19
1,194,49.25,0,0,0,0,0,20
1,194,49.25,0,0,0,0,0,17
1,184,48,0,0,0,0,0,22
1,200,50,0,1,0,0,0,19
1,162,45.25,0,0,0,0,0,22
1,200,50,0,0,0,0,0,18
1,200,50,0,0,0,0,0,23
1,200,50,0,0,0,0,0,19
1,200,50,0,1,0,0,0,19
1,200,50,0,1,0,0,0,17
1,200,50,0,1,0,0,0,17
1,119,39.875,0,0,0,0,0,19
1,163,45.375,0,0,0,0,0,21
1,177,47.125,0,1,1,0,0,20
1,200,50,0,0,0,0,0,20
1,177,47.125,0,0,0,0,0,21
1,200,50,0,0,0,0,0,18
1,200,50,0,0,0,0,0,20
1,194,49.25,0,0,0,0,0,19
1,164,45.5,0,0,0,0,0,21
1,184,48,0,0,0,0,0,19
1,184,48,1,0,0,1,1,20
1,200,50,0,0,0,0,0,16
1,153,44.125,0,0,0,0,0,18
1,181,47.625,0,1,0,0,0,18
1,193,49.125,0,0,0,0,0,19
1,194,49.25,0,0,0,0,0,20
1,200,50,0,0,0,0,0,17
1,200,50,0,0,0,0,0,17
1,178,47.25,0,0,0,0,0,21
1,200,50,0,0,0,0,0,17
1,200,50,0,0,0,0,0,18
1,200,50,0,2,0,0,0,18
1,177,47.125,1,0,1,1,0,19
1,184,48,0,0,0,0,0,20
1,200,50,0,0,0,0,0,16
1,178,47.25,0,0,0,0,0,19
1,47,30.875,1,0,0,0,0,22
1,200,50,0,0,0,0,0,16
1,200,50,0,1,0,0,0,17
1,154,44.25,0,0,0,0,0,16
1,185,48.125,0,0,0,0,0,18
1,200,50,0,0,0,0,0,20
1,200,50,1,1,0,1,1,20
1,200,50,0,1,0,0,0,14
1,85,35.625,0,0,1,0,0,23
1,200,50,0,0,0,0,0,15
1,200,50,0,0,0,0,0,15
1,130,41.25,0,0,1,0,0,19
1,54,31.75,2,0,0,0,0,23
1,200,50,0,0,0,0,0,20
1,185,48.125,0,0,0,0,0,15
1,115,39.375,1,0,0,0,0,19
1,200,50,0,0,0,0,0,16
1,118,39.75,1,0,1,0,0,15
1,141,42.625,0,0,0,0,0,17
1,200,50,0,0,0,0,0,18
1,200,50,0,0,0,0,0,18
1,200,50,0,0,0,0,0,20
1,200,50,0,1,0,0,0,18
1,163,45.375,0,1,0,0,0,20
1,147,43.375,0,0,0,0,0,21
1,200,50,0,0,1,0,0,19
1,200,50,0,0,0,0,0,17
1,200,50,0,0,0,0,0,16
1,168,46,0,0,0,0,0,17
1,200,50,0,1,0,0,0,18
1,114,39.25,0,0,0,0,0,16
1,179,47.375,0,0,0,0,0,20
1,200,50,0,0,0,0,0,16
1,141,42.625,0,0,0,0,0,17
1,200,50,0,1,0,0,0,19
1,117,39.625,0,0,0,0,0,16
1,194,49.25,0,0,0,0,0,20
1,200,50,0,0,0,0,0,20
1,200,50,0,1,0,0,0,18
1,200,50,0,0,0,0,0,17
1,86,35.75,0,0,0,0,0,19
1,200,50,0,0,1,0,0,19
1,200,50,0,0,0,0,0,21
1,187,48.375,0,0,1,0,0,14
1,200,50,0,0,0,0,0,18
1,200,50,0,0,0,0,0,21
1,163,45.375,0,0,0,0,0,20
1,200,50,0,0,0,0,0,20
1,200,50,0,1,0,0,0,17
1,200,50,0,0,0,0,0,17
1,200,50,1,0,0,1,1,17
1,200,50,1,0,0,0,1,18
1,200,50,0,0,0,0,0,21
1,172,46.5,1,0,0,0,0,20
1,184,48,0,0,0,0,0,15
1,200,50,0,0,0,0,0,21
1,70,33.75,0,0,0,0,0,19
1,113,39.125,0,0,0,0,0,19
1,200,50,0,1,0,0,0,15
1,200,50,0,0,0,0,0,15
1,200,50,1,0,0,1,1,17
1,115,39.375,0,0,0,0,0,17
1,200,50,0,0,0,0,0,19
1,200,50,0,0,0,0,0,18
1,200,50,0,1,0,0,0,19
1,178,47.25,0,0,0,0,0,21
1,192,49,0,0,0,0,0,19
1,200,50,0,1,0,0,0,20
1,200,50,0,0,0,0,0,21
1,192,49,0,0,0,0,0,17
1,56,32,0,0,0,0,0,21
1,127,40.875,0,1,0,0,0,21
1,86,35.75,0,0,0,0,0,17
1,200,50,0,0,0,0,0,18
1,157,44.625,0,0,0,0,0,16
1,96,37,0,0,0,0,0,19
1,156,44.5,1,0,0,0,0,18
0,0,25,0,0,0,0,0,22
1,200,50,0,0,0,0,0,19
1,193,49.125,0,0,0,0,0,18
1,154,44.25,0,0,0,0,0,17
1,200,50,0,1,0,0,0,18
1,192,49,0,1,0,0,0,19
1,200,50,0,0,0,0,0,22
1,178,47.25,0,0,0,0,0,18
1,179,47.375,0,0,1,0,0,19
1,86,35.75,1,0,0,0,0,20
1,171,46.375,0,1,0,0,0,15
1,130,41.25,0,0,0,0,0,19
1,96,37,2,0,0,0,0,24
1,8,26,0,0,0,0,0,18
1,200,50,0,0,0,0,0,20
1,200,50,0,0,0,0,0,17
1,169,46.125,0,0,0,0,0,16
1,184,48,0,0,0,0,0,20
1,200,50,0,0,0,0,0,18
1,194,49.25,0,0,0,0,0,17
1,200,50,0,0,0,0,0,19
1,185,48.125,0,0,0,0,0,27
1,134,41.75,0,1,0,0,0,21
1,52,31.5,1,0,0,1,0,23
1,200,50,0,0,0,0,0,20
1,200,50,0,0,0,0,0,18
1,200,50,0,0,0,0,0,18
1,200,50,0,1,0,0,0,20
1,200,50,0,0,0,0,0,16
1,200,50,0,0,0,0,0,17
1,124,40.5,1,0,0,0,0,18
1,200,50,0,0,0,0,0,15
1,200,50,1,0,0,1,1,17
1,194,49.25,0,1,0,0,0,18
1,200,50,0,0,1,0,0,18
1,200,50,0,1,0,0,0,17
1,111,38.875,0,0,0,0,0,19
1,200,50,0,0,0,0,0,16
1,200,50,0,0,0,0,0,20
1,200,50,0,0,0,0,0,17
1,193,49.125,0,0,0,0,0,17
1,200,50,0,0,0,0,0,16
1,193,49.125,0,0,0,0,0,18
1,200,50,0,0,0,0,0,18
1,200,50,0,0,0,0,0,17
1,200,50,0,0,0,0,0,20
1,146,43.25,0,0,0,0,0,18
1,141,42.625,0,0,0,0,0,18
1,200,50,0,0,0,0,0,16
1,200,50,0,0,0,0,0,15
1,200,50,0,0,0,0,0,21
1,192,49,0,0,0,0,0,18
1,200,50,0,0,0,0,0,16
1,200,50,0,0,0,0,0,16
1,200,50,0,0,0,0,0,17
1,200,50,0,0,0,0,0,17
1,200,50,0,0,1,0,0,17
1,178,47.25,0,0,0,0,0,18
1,177,47.125,0,0,0,0,0,20
1,185,48.125,0,0,0,0,0,20
1,200,50,1,0,0,0,1,17
1,144,43,0,0,0,0,0,17
1,200,50,0,0,0,0,0,14
1,200,50,0,0,0,0,0,17
1,200,50,0,0,0,0,0,19
1,200,50,0,0,1,0,0,16
1,200,50,0,1,0,0,0,20
1,200,50,0,0,0,0,0,18
1,130,41.25,0,0,0,0,0,19
1,85,35.625,0,0,1,0,0,18
1,163,45.375,0,0,0,0,0,19
1,194,49.25,0,0,0,0,0,21
1,200,50,0,0,0,0,0,21
1,200,50,0,0,0,0,0,16
1,131,41.375,1,2,1,1,0,19
1,113,39.125,0,0,0,0,0,20
1,129,41.125,0,0,0,0,0,19
1,200,50,0,0,0,0,0,16
1,162,45.25,0,0,0,0,0,21
1,107,38.375,0,0,0,0,0,26
1,188,48.5,0,0,0,0,0,15
1,200,50,0,1,0,0,0,19
1,200,50,0,0,0,0,0,14
1,200,50,0,1,0,0,0,20
1,200,50,0,0,0,0,0,15
1,164,45.5,0,0,0,0,0,15
1,193,49.125,0,0,0,0,0,21
1,200,50,2,0,0,1,2,17
1,200,50,0,0,0,0,0,16
1,179,47.375,0,0,0,0,0,21
1,200,50,0,0,0,0,0,20
