Victory,Remaining HP,Reward,Times Healed Ally,Times Coordinated Stuns,Times Coordinated Blinds
0,200,0,0,0,0
1,58,32.25,0,1,0
1,10,26.25,0,1,0
0,0,22.4375,0,0,0
0,0,15,0,0,0
0,0,18.375,0,0,0
1,5,25.625,0,1,0
1,74,34.25,0,2,0
0,0,16.4375,0,0,0
0,0,10.4375,2,0,0
1,93,36.625,0,1,0
1,37,29.625,0,0,1
0,0,14.875,0,1,1
1,51,31.375,2,0,1
0,0,13,0,0,0
1,94,36.75,0,0,0
0,0,17.4375,0,0,0
1,67,33.375,0,1,0
0,0,12.3125,0,0,0
0,0,25,0,0,0
0,0,22.625,0,0,0
1,45,30.625,0,1,0
1,33,29.125,2,0,0
0,0,25,0,0,0
1,39,29.875,0,3,0
0,0,14,0,0,0
1,173,46.625,0,1,0
0,0,23.125,0,0,0
1,98,37.25,0,0,0
0,0,13.1875,0,0,0
0,0,18.0625,0,0,0
1,188,48.5,0,1,1
1,118,39.75,0,1,0
0,0,15.0625,0,0,0
1,127,40.875,0,0,2
1,107,38.375,0,3,0
1,76,34.5,0,1,0
0,0,16.5,0,0,0
1,178,47.25,0,1,0
0,0,25,0,1,0
0,0,25,0,0,0
0,0,6.1875,0,0,0
0,0,25,1,0,0
1,99,37.375,1,1,0
1,161,45.125,1,0,0
0,0,11.9375,0,0,0
1,129,41.125,0,0,0
0,0,25,0,0,1
0,0,25,0,1,0
0,0,13.625,0,0,0
0,0,23.0625,0,0,0
1,86,35.75,0,0,2
0,0,19.25,0,0,0
0,0,25,0,1,1
1,124,40.5,0,0,1
1,113,39.125,0,3,0
0,0,25,1,1,0
0,0,12.125,0,0,0
1,114,39.25,1,2,0
1,140,42.5,0,0,0
0,0,22.1875,0,0,0
1,57,32.125,0,1,0
1,18,27.25,2,0,0
1,50,31.25,0,0,0
0,0,12.4375,1,1,0
0,0,25,0,0,0
0,0,15.75,0,0,0
1,128,41,0,0,0
0,0,14.8125,1,0,0
0,0,20.875,1,1,0
0,0,17.1875,0,0,0
1,21,27.625,0,0,0
1,128,41,0,0,0
1,37,29.625,0,0,0
1,33,29.125,0,0,0
1,124,40.5,0,1,0
1,102,37.75,1,0,0
0,0,10.125,2,1,0
0,0,25,2,1,0
0,0,25,1,0,0
1,82,35.25,0,0,0
0,0,23.0625,0,0,0
0,0,25,1,1,1
0,0,14.9375,0,0,0
0,0,25,0,1,0
0,0,25,0,0,0
0,0,13.1875,0,0,0
1,18,27.25,0,0,0
1,23,27.875,1,0,0
1,45,30.625,2,2,0
0,0,23.125,0,1,0
0,0,23.9375,0,1,0
0,0,25,0,1,0
1,51,31.375,0,1,0
0,0,25,1,0,0
1,148,43.5,0,0,1
0,0,25,0,1,0
0,0,25,0,0,0
1,143,42.875,1,1,0
0,0,22,0,0,0
0,0,25,0,1,0
0,0,11.9375,0,0,0
0,0,13.375,0,1,0
0,0,9.25,0,2,0
0,0,25,0,0,0
1,85,35.625,0,1,1
1,2,25.25,0,0,0
0,0,25,0,1,1
0,0,16.0625,0,0,0
1,146,43.25,1,0,0
0,0,15.125,0,0,0
0,0,23.875,1,0,0
0,0,24.625,0,1,0
1,112,39,0,0,0
0,0,13.625,0,0,0
0,0,23.25,0,0,0
0,0,16.6875,0,0,0
1,82,35.25,0,0,0
0,0,17.9375,0,0,0
0,0,25,0,0,0
0,0,25,0,0,0
1,55,31.875,0,2,0
1,76,34.5,0,0,0
1,106,38.25,4,0,1
0,0,24.875,0,0,0
0,0,25,0,0,1
1,200,50,0,0,0
0,0,25,1,0,0
0,0,25,0,0,1
1,16,27,3,0,0
1,62,32.75,0,0,0
0,0,25,0,0,0
1,100,37.5,0,1,1
0,0,25,0,2,0
0,0,12.75,1,0,0
1,6,25.75,0,0,0
0,0,24.8125,0,0,0
0,0,21.875,0,0,0
0,0,25,0,0,0
0,0,15,0,1,0
1,98,37.25,0,0,0
1,77,34.625,0,0,0
1,149,43.625,0,0,0
0,0,11.8125,0,0,0
1,120,40,2,0,1
1,65,33.125,0,0,1
0,0,25,0,0,0
0,0,25,0,0,0
1,126,40.75,0,0,0
0,0,25,0,0,0
1,101,37.625,0,0,0
0,0,25,0,0,0
0,0,25,0,0,0
0,0,12.5625,0,1,0
1,113,39.125,0,1,0
0,0,25,0,2,1
1,30,28.75,0,0,1
1,88,36,0,0,0
0,0,6.75,0,0,0
0,0,23.625,0,0,0
0,0,23.9375,2,0,0
0,0,11.625,0,1,0
1,43,30.375,0,1,0
0,0,25,0,0,0
1,77,34.625,0,1,0
1,77,34.625,2,0,1
1,105,38.125,0,0,0
0,0,20.5625,0,0,0
1,144,43,0,1,0
0,0,13.25,0,0,0
1,79,34.875,0,0,0
0,0,25,0,0,1
1,96,37,0,0,1
0,0,15.0625,0,0,0
0,0,12.875,0,0,0
1,13,26.625,0,0,0
0,0,24.375,0,1,0
0,0,15,0,1,0
1,81,35.125,0,0,0
0,0,22.9375,0,0,0
0,0,18.5625,0,0,0
1,142,42.75,1,0,0
0,0,25,1,1,0
0,0,24.75,1,0,0
0,0,14.875,0,0,0
0,0,23.9375,0,0,1
0,0,25,0,0,0
1,129,41.125,1,0,0
1,109,38.625,0,0,0
0,0,25,0,0,0
0,0,7.4375,0,0,0
0,0,14.75,0,0,0
1,142,42.75,0,0,0
0,0,19.0625,0,0,0
0,0,23.4375,0,0,0
1,14,26.75,0,0,1
0,0,15.25,0,0,0
1,124,40.5,0,0,1
1,200,50,0,1,1
0,0,9.125,0,0,0
1,65,33.125,0,1,0
0,0,25,0,0,0
0,0,15.1875,0,0,0
0,0,25,0,0,0
1,32,29,1,0,1
0,0,19.0625,0,1,0
0,0,12.6875,0,0,0
1,58,32.25,1,0,0
1,65,33.125,0,0,0
0,0,25,0,0,0
0,0,21.1875,1,1,0
0,0,15,0,1,0
0,0,25,0,0,1
1,119,39.875,0,1,0
0,0,7.1875,0,0,0
0,0,25,2,0,0
0,0,25,0,0,0
0,0,25,0,1,0
1,170,46.25,0,0,0
0,0,22.9375,0,1,1
